Model,intention_f1_macro,intention_accuracy,objet_medical_f1_macro,objet_medical_accuracy,sentiment_f1_macro,sentiment_accuracy
BERT_MedicalMultiTache_sampler_sentiment,0.8920019870839543,0.9233333333333333,0.5986642982666852,0.5766666666666667,0.5111396875912289,0.7033333333333334
BERT_MedicalMultiTache_combined,0.9094015541950583,0.9333333333333333,0.6696932548763213,0.6633333333333333,0.5331838148739557,0.7933333333333333
BERT_MedicalMultiTache_sampler_objet_medical,0.9049504790557327,0.9266666666666666,0.6239288336167378,0.61,0.3392398561890087,0.79
BERT_MedicalMultiTache_keywords,0.9110768128200721,0.9333333333333333,0.7103671281717758,0.6966666666666667,0.453108422966579,0.8033333333333333
BERT_MedicalMultiTache,0.9015296068676227,0.9233333333333333,0.5970905814369117,0.5733333333333334,0.3423917777197108,0.8
BERT_MedicalMultiTache_camembert,0.5738439934706213,0.8266666666666667,0.333811052510892,0.45,0.2976629766297663,0.8066666666666666
Camembert-bio_MedicalMultiTache_sampler_objet_medical,0.610118809237752,0.8533333333333334,0.436345931030364,0.45,0.2976629766297663,0.8066666666666666
BERT_MedicalMultiTache_sampler_intention,0.8881359362637767,0.91,0.41401025275373726,0.49,0.2976629766297663,0.8066666666666666
Camembert_MedicalMultiTache_sampler_objet_medical,0.5848399966047025,0.8333333333333334,0.32183457298266654,0.37666666666666665,0.2976629766297663,0.8066666666666666
BERT_MedicalMultiTache_sampler,0.9097442564333518,0.9333333333333333,0.6717527436163975,0.6633333333333333,0.5073250540981132,0.7766666666666666
Camembert-bio_MedicalMultiTache_no_sampler,0.5832822399346004,0.8333333333333334,0.36989957716701904,0.4866666666666667,0.2976629766297663,0.8066666666666666
BERT_MedicalMultiTache_backtrans,0.8898540466989789,0.9133333333333333,0.661743565298848,0.6533333333333333,0.44155312439119426,0.7933333333333333
