,,,,,,non,non,non,,,
,,,,,,non,non,non,,,
fonction_phatique,fonction_phatique,fonction_phatique,,,,non,non,non,,,
partage_experience,partage_experience,partage_experience,symptome,symptome,symptome,non,non,non,,,
partage_experience,fonction_phatique,partage_experience,traitement,,symptome,non,non,non,,,
recherche_information,recherche_information,recherche_information,traitement,symptome,traitement,non,non,non,,,
recherche_information,partage_experience,partage_experience,symptome,symptome,symptome,non,non,non,,,
partage_experience,partage_experience,partage_experience,symptome,traitement,traitement,non,non,non,,,
partage_experience,partage_experience,partage_experience,symptome,traitement,traitement,non,non,non,,,
partage_experience,partage_experience,partage_experience,symptome,traitement,traitement,non,non,oui,,,negatif
partage_experience,partage_experience,partage_experience,traitement,traitement,traitement,non,non,non,,,
partage_experience,partage_experience,partage_experience,symptome,traitement,traitement,non,non,oui,,,negatif
partage_experience,partage_experience,partage_experience,traitement,traitement,traitement,non,non,non,,,
partage_experience,partage_experience,partage_experience,symptome,traitement,traitement,non,non,oui,,,positif
recherche_information,recherche_information,recherche_information,traitement,symptome,traitement,non,non,non,,,
partage_experience,fonction_phatique,partage_experience,traitement,,traitement,non,non,non,,,
fonction_phatique,fonction_phatique,fonction_phatique,,,,non,non,non,,,
fonction_phatique,fonction_phatique,fonction_phatique,,,,non,non,non,,,
fonction_phatique,fonction_phatique,fonction_phatique,,,,non,non,non,,,
fonction_phatique,fonction_phatique,fonction_phatique,,,,non,non,non,,,
partage_experience,partage_experience,partage_experience,diagnostique,diagnostique,diagnostique,non,non,non,,,
partage_experience,partage_experience,partage_experience,symptome,symptome,symptome,non,non,oui,,,negatif
partage_experience,partage_experience,partage_experience,symptome,symptome,symptome,oui,oui,non,negatif,negatif,
fonction_phatique,fonction_phatique,fonction_phatique,,,,oui,oui,non,positif,positif,
fonction_phatique,fonction_phatique,fonction_phatique,,,,non,non,non,,,
partage_experience,partage_experience,partage_experience,symptome,symptome,traitement,non,non,non,,,
partage_experience,partage_experience,partage_experience,symptome,symptome,traitement,oui,non,non,positif,,
partage_experience,partage_experience,partage_experience,symptome,traitement,traitement,non,non,non,,,
partage_experience,partage_experience,partage_experience,symptome,traitement,traitement,non,non,non,,,
partage_experience,fonction_phatique,fonction_phatique,traitement,,,oui,oui,non,positif,positif,
fonction_phatique,fonction_phatique,fonction_phatique,,,,,non,non,,,
partage_experience,fonction_phatique,partage_experience,symptome,,symptome,oui,oui,oui,positif,positif,positif
partage_experience,partage_experience,partage_experience,symptome,symptome,symptome,oui,non,non,negatif,,
